País,Temperatura_promedio,Cambio_lluvias,Frecuencia_sequías,Producción_alimentos
Alemania,10.5,-5,2,950000
Argentina,17.8,-10,5,650000
Australia,22.3,-15,8,400000
Brasil,25.1,-8,6,900000
Canadá,6.2,-2,1,850000
Chile,15.4,-12,7,500000
España,18.2,-9,6,600000
Estados Unidos,12.8,-4,3,1200000
Francia,11.5,-6,2,980000
Italia,13.4,-7,4,700000
Japón,16.1,-3,1,720000
México,22.9,-11,7,450000
Reino Unido,9.7,-4,2,820000
Rusia,5.4,-1,1,900000
Sudáfrica,20.5,-13,9,300000
China,14.7,-6,3,1100000
India,26.9,-12,6,700000
Noruega,4.6,-3,1,600000
Perú,20.1,-11,5,550000
Tailandia,28.0,-14,7,480000
Egipto,23.5,-8,8,370000
Corea del Sur,13.8,-5,2,890000
Nueva Zelanda,15.3,-10,4,560000
